Category,Diagnosis,Symptoms
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Headache"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Fatigue, Loss of appetite, Shortness of breath, Wheezing"
Musculoskeletal,Rheumatoid Arthritis,"Dizziness, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Headache, Nausea, Stomach cramps, Vomiting"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Dizziness, Nausea, Shortness of breath, Wheezing"
Infectious,Influenza (Flu),"Body aches, Dry cough, High fever, Nausea, Runny nose, Sore throat"
Urological,Kidney Stone,"Body aches, Fatigue, Headache, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Musculoskeletal,Rheumatoid Arthritis,"Fatigue, Fever, Headache, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Chronic,Hypertension,"Chills, Dizziness, Headaches, Nosebleeds, Often asymptomatic, Shortness of breath"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Loss of appetite, Loss of taste or smell, Malaise, Shortness of breath"
Infectious,Influenza (Flu),"Body aches, Dry cough, Fever, High fever, Runny nose, Sore throat"
Chronic,Hypertension,"Dizziness, Fatigue, Headaches, Loss of appetite, Malaise, Nosebleeds, Often asymptomatic, Shortness of breath"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Loss of taste or smell, Malaise, Nausea, Shortness of breath, Weakness"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Fever, Frequent urination, Headache, Loss of appetite, Pain or burning on urination, Pelvic pain"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Fever, Headache, Loss of appetite, Nausea, Stomach cramps, Vomiting"
Chronic,Hypertension,"Chills, Dizziness, Headaches, Nausea, Nosebleeds, Often asymptomatic, Shortness of breath"
Allergy,Allergic Rhinitis (Hay Fever),"Dizziness, Itchy, watery eyes, Nasal congestion, Runny nose, Sneezing"
Musculoskeletal,Ankle Sprain,"Ankle pain, Bruising, Fatigue, Fever, Inability to bear weight, Swelling, Tenderness to touch"
Chronic,Type 2 Diabetes,"Blurry vision, Chills, Excessive thirst, Frequent urination, Increased hunger, Loss of appetite, Slow-healing sores, Unexplained weight loss"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Loss of appetite, Loss of taste or smell, Shortness of breath"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Loss of taste or smell, Malaise, Shortness of breath"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Dizziness, Fever, Inability to bear weight, Severe leg pain, Swelling, Visible deformity, Weakness"
Musculoskeletal,Ankle Sprain,"Ankle pain, Body aches, Bruising, Inability to bear weight, Nausea, Swelling, Tenderness to touch"
Infectious,Gastroenteritis (Stomach Flu),"Body aches, Diarrhea, Headache, Nausea, Stomach cramps, Vomiting"
Infectious,Strep Throat,"Body aches, Fever, Loss of appetite, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Chronic,Type 2 Diabetes,"Blurry vision, Chills, Dizziness, Excessive thirst, Frequent urination, Increased hunger, Slow-healing sores, Unexplained weight loss"
Musculoskeletal,Tibial/Fibular Fracture,"Body aches, Bruising, Dizziness, Fever, Inability to bear weight, Severe leg pain, Swelling, Visible deformity"
Infectious,COVID-19,"Chills, Dry cough, Fatigue, Fever, Loss of taste or smell, Shortness of breath, Weakness"
Urological,Kidney Stone,"Fever, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Chronic,Asthma,"Chest tightness, Chills, Coughing (especially at night), Headache, Shortness of breath, Weakness, Wheezing"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Frequent urination, Loss of appetite, Pain or burning on urination, Pelvic pain, Weakness"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Loss of appetite, Nausea"
Musculoskeletal,Tibial/Fibular Fracture,"Body aches, Bruising, Dizziness, Inability to bear weight, Severe leg pain, Swelling, Visible deformity"
Urological,Kidney Stone,"Chills, Loss of appetite, Nausea, Pain on urination, Pain that radiates to lower abdomen, Pink, red or brown urine, Severe pain in side and back"
Chronic,Type 2 Diabetes,"Blurry vision, Excessive thirst, Fever, Frequent urination, Increased hunger, Loss of appetite, Nausea, Slow-healing sores, Unexplained weight loss"
Chronic,Hypertension,"Dizziness, Fatigue, Headaches, Loss of appetite, Nausea, Nosebleeds, Often asymptomatic, Shortness of breath"
Neurological,Migraine,"Fever, Loss of appetite, Malaise, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Chronic,Hypertension,"Body aches, Dizziness, Headaches, Loss of appetite, Malaise, Nosebleeds, Often asymptomatic, Shortness of breath"
Infectious,Gastroenteritis (Stomach Flu),"Diarrhea, Dizziness, Fever, Malaise, Nausea, Stomach cramps, Vomiting"
Infectious,Influenza (Flu),"Body aches, Dry cough, High fever, Runny nose, Sore throat"
Neurological,Migraine,"Body aches, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Infectious,Gastroenteritis (Stomach Flu),"Body aches, Diarrhea, Fatigue, Loss of appetite, Nausea, Stomach cramps, Vomiting"
Infectious,Pneumonia,"Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fever, Loss of appetite"
Musculoskeletal,Rheumatoid Arthritis,"Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Nausea, Swollen joints"
Musculoskeletal,Rheumatoid Arthritis,"Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Malaise, Swollen joints"
Neurological,Migraine,"Loss of appetite, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting, Weakness"
Chronic,Type 2 Diabetes,"Blurry vision, Body aches, Excessive thirst, Frequent urination, Increased hunger, Malaise, Slow-healing sores, Unexplained weight loss, Weakness"
Musculoskeletal,Rheumatoid Arthritis,"Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Loss of appetite, Malaise, Swollen joints"
Neurological,Migraine,"Chills, Fever, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Headache, Loss of taste or smell, Malaise, Shortness of breath"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Inability to bear weight, Loss of appetite, Severe leg pain, Swelling, Visible deformity, Weakness"
Chronic,Hypertension,"Dizziness, Fatigue, Headache, Headaches, Nosebleeds, Often asymptomatic, Shortness of breath"
Infectious,COVID-19,"Dizziness, Dry cough, Fatigue, Fever, Loss of appetite, Loss of taste or smell, Shortness of breath"
Infectious,Strep Throat,"Fever, Loss of appetite, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Musculoskeletal,Rheumatoid Arthritis,"Body aches, Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Malaise, Swollen joints"
Infectious,Influenza (Flu),"Body aches, Dry cough, High fever, Malaise, Runny nose, Sore throat"
Infectious,COVID-19,"Dry cough, Fatigue, Fever, Loss of taste or smell, Malaise, Nausea, Shortness of breath"
Infectious,COVID-19,"Dizziness, Dry cough, Fatigue, Fever, Loss of taste or smell, Shortness of breath"
Chronic,Hypertension,"Dizziness, Headache, Headaches, Loss of appetite, Nosebleeds, Often asymptomatic, Shortness of breath"
Acute/Surgical,Appendicitis,"Abdominal swelling, Fever, Loss of appetite, Malaise, Nausea, Pain in lower right abdomen, Vomiting"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Frequent urination, Malaise, Pain or burning on urination, Pelvic pain"
Chronic,Type 2 Diabetes,"Blurry vision, Body aches, Excessive thirst, Fatigue, Frequent urination, Increased hunger, Slow-healing sores, Unexplained weight loss, Weakness"
Musculoskeletal,Rheumatoid Arthritis,"Fatigue, Fever, Joint pain, Joint stiffness (worse in morning), Swollen joints"
Infectious,Pneumonia,"Body aches, Chest pain, Chills, Cough with phlegm, Difficulty breathing, Fatigue, Fever, Loss of appetite"
Chronic,Asthma,"Chest tightness, Coughing (especially at night), Headache, Shortness of breath, Weakness, Wheezing"
Infectious,Urinary Tract Infection (UTI),"Cloudy or strong-smelling urine, Frequent urination, Nausea, Pain or burning on urination, Pelvic pain"
Acute/Surgical,Appendicitis,"Abdominal swelling, Dizziness, Fever, Loss of appetite, Nausea, Pain in lower right abdomen, Vomiting"
Chronic,Hypertension,"Chills, Dizziness, Fatigue, Headache, Headaches, Nosebleeds, Often asymptomatic, Shortness of breath"
Musculoskeletal,Tibial/Fibular Fracture,"Bruising, Headache, Inability to bear weight, Severe leg pain, Swelling, Visible deformity"
Infectious,Influenza (Flu),"Body aches, Dry cough, High fever, Loss of appetite, Runny nose, Sore throat"
Musculoskeletal,Tibial/Fibular Fracture,"Body aches, Bruising, Dizziness, Fatigue, Inability to bear weight, Severe leg pain, Swelling, Visible deformity"
Infectious,Gastroenteritis (Stomach Flu),"Chills, Diarrhea, Fatigue, Malaise, Nausea, Stomach cramps, Vomiting"
Neurological,Migraine,"Body aches, Fatigue, Nausea, Sensitivity to light, Sensitivity to sound, Severe throbbing headache, Visual aura, Vomiting, Weakness"
Infectious,Urinary Tract Infection (UTI),"Body aches, Cloudy or strong-smelling urine, Frequent urination, Pain or burning on urination, Pelvic pain, Weakness"
Infectious,Gastroenteritis (Stomach Flu),"Chills, Diarrhea, Nausea, Stomach cramps, Vomiting"
Infectious,Strep Throat,"Dizziness, Fatigue, Fever, Loss of appetite, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Infectious,Strep Throat,"Chills, Dizziness, Fever, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, Weakness, White patches on tonsils"
Infectious,Strep Throat,"Body aches, Chills, Fever, Malaise, Pain when swallowing, Severe sore throat, Swollen lymph nodes, Swollen tonsils, White patches on tonsils"
Infectious,Urinary Tract Infection (UTI),"Body aches, Cloudy or strong-smelling urine, Frequent urination, Malaise, Pain or burning on urination, Pelvic pain"
