BodyPart,SpecificBone,Diagnosis,Symptoms
Back,Vertebra (Spine),Vertebral Compression Fracture,"Bruising or discoloration, Dizziness or feeling faint, Grating sensation (crepitus), Loss of height, Sudden, severe back pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Worsening pain when standing"
Shoulder/Chest,Clavicle (Collarbone),Clavicle Fracture,"Bruising or discoloration, Dizziness or feeling faint, Grating sensation (crepitus), Inability to lift arm, Shoulder sagging forward, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Warmth at the injury site"
Leg,Tibia/Fibula (Lower Leg),Tibial/Fibular Fracture,"Bruising or discoloration, Inability to bear weight, Obvious deformity in lower leg, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture), Warmth at the injury site"
Torso,Rib,Rib Fracture,"Bruising or discoloration, Inability to move the affected part, Numbness or tingling, Pain when coughing or laughing, Sharp pain when breathing deeply, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Warmth at the injury site"
Hip,Femur (Proximal),Hip Fracture,"Affected leg turned outwards, Bruising or discoloration, Dizziness or feeling faint, Inability to get up from a fall, Numbness or tingling, Severe pain in hip or groin, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible deformity, Warmth at the injury site"
Torso,Rib,Rib Fracture,"Bruising or discoloration, Pain when coughing or laughing, Sharp pain when breathing deeply, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture)"
Leg,Tibia/Fibula (Lower Leg),Tibial/Fibular Fracture,"Bruising or discoloration, Grating sensation (crepitus), Inability to bear weight, Numbness or tingling, Obvious deformity in lower leg, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture), Visible deformity"
Back,Vertebra (Spine),Vertebral Compression Fracture,"Bruising or discoloration, Grating sensation (crepitus), Inability to move the affected part, Loss of height, Numbness or tingling, Sudden, severe back pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible deformity, Worsening pain when standing"
Back,Vertebra (Spine),Vertebral Compression Fracture,"Bruising or discoloration, Inability to move the affected part, Loss of height, Sudden, severe back pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Warmth at the injury site, Worsening pain when standing"
Back,Vertebra (Spine),Vertebral Compression Fracture,"Bruising or discoloration, Inability to move the affected part, Loss of height, Sudden, severe back pain, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Worsening pain when standing"
Wrist,Radius (Wrist),Distal Radius Fracture (Colles'),"""Dinner fork"" deformity of wrist, Bruising or discoloration, Sudden, severe pain, Swelling at the injury site, Tenderness to touch, Visible bone (open fracture), Warmth at the injury site, Wrist pain"
