Disease,Symptoms
Tension Headache,"tightness across forehead, dull, aching head pain, scalp tenderness, neck stiffness, shoulder pain, mild sensitivity to light"
Tension Headache,"shoulder pain, dull, aching head pain, scalp tenderness, tightness across forehead, mild sensitivity to light"
Tension Headache,"tightness across forehead, scalp tenderness, dull, aching head pain, mild sensitivity to light"
Minor Sprain/Strain,"localized pain, swelling, limited range of motion, tenderness"
Migraine,"nausea, severe throbbing headache, vomiting, aura, sensitivity to sound"
Tension Headache,"neck stiffness, mild sensitivity to light, scalp tenderness, shoulder pain, dull, aching head pain, tightness across forehead"
Migraine,"sensitivity to light, vomiting, nausea, severe throbbing headache, sensitivity to sound"
Minor Sprain/Strain,"muscle stiffness, tenderness, swelling, cramping, localized pain"
Common Cold,"mild headache, cough, sneezing, sore throat, low fever, watery eyes, runny nose"
Migraine,"severe throbbing headache, sensitivity to light, sensitivity to sound, nausea"
Gastroenteritis,"diarrhea, nausea, low-grade fever, abdominal cramps"
Tension Headache,"shoulder pain, tightness across forehead, dull, aching head pain, scalp tenderness, neck stiffness, mild sensitivity to light"
Migraine,"sensitivity to sound, sensitivity to light, vomiting, nausea, severe throbbing headache"
Gastroenteritis,"abdominal cramps, nausea, diarrhea"
Dehydration,"confusion, dry mouth, infrequent urination, dizziness, fatigue, thirst, dark urine"
Gastroenteritis,"fatigue, nausea, loss of appetite, diarrhea, vomiting, headache, abdominal cramps"
Minor Sprain/Strain,"swelling, localized pain, limited range of motion, tenderness"
Seasonal Flu,"high fever, fatigue, chills"
Bacterial Pneumonia,"shortness of breath, productive cough, shaking chills, high fever, confusion, sweating, chest pain"
Allergic Rhinitis,"sneezing, runny nose, itchy eyes, watery eyes"
Bacterial Pneumonia,"sweating, shortness of breath, nausea, confusion, productive cough, chest pain, high fever"
Strep Throat,"tiny red spots on roof of mouth, fever, rash, sudden sore throat, stomach ache, pain when swallowing"
Gastroenteritis,"low-grade fever, headache, abdominal cramps, vomiting, diarrhea"
Seasonal Flu,"fatigue, severe body aches, chills, diarrhea"
Dehydration,"dizziness, thirst, fatigue"
Strep Throat,"pain when swallowing, sudden sore throat, tiny red spots on roof of mouth"
Bacterial Pneumonia,"shaking chills, chest pain, high fever"
Seasonal Flu,"sore throat, headache, high fever, fatigue, severe body aches, chills, cough"
Bacterial Pneumonia,"shortness of breath, high fever, nausea, productive cough"
Dehydration,"thirst, confusion, fatigue, dry mouth, dizziness, headache, dark urine"
Migraine,"severe throbbing headache, sensitivity to light, sensitivity to sound"
Dehydration,"dark urine, dizziness, confusion, dry mouth, headache, thirst, fatigue"
Seasonal Flu,"high fever, sore throat, cough, diarrhea, severe body aches, chills, fatigue"
Common Cold,"sneezing, runny nose, cough, sore throat"
Tension Headache,"dull, aching head pain, tightness across forehead, scalp tenderness"
Strep Throat,"fever, tiny red spots on roof of mouth, headache, sudden sore throat"
Migraine,"aura, sensitivity to light, nausea, severe throbbing headache, vomiting, sensitivity to sound"
Dehydration,"fatigue, confusion, headache, infrequent urination, dry mouth, dizziness"
Common Cold,"fatigue, sore throat, cough, runny nose"
Dehydration,"dry mouth, dark urine, thirst, headache, dizziness, infrequent urination"
Allergic Rhinitis,"mild headache, runny nose, sneezing, itchy eyes, watery eyes"
Strep Throat,"headache, tiny red spots on roof of mouth, rash, sudden sore throat, fever"
Gastroenteritis,"low-grade fever, diarrhea, abdominal cramps, vomiting, nausea, fatigue"
Allergic Rhinitis,"watery eyes, sneezing, itchy eyes, runny nose, mild headache"
Bacterial Pneumonia,"productive cough, shortness of breath, chest pain, shaking chills, high fever"
Gastroenteritis,"abdominal cramps, diarrhea, low-grade fever, fatigue, nausea, loss of appetite, vomiting"
Bacterial Pneumonia,"chest pain, shaking chills, productive cough, high fever, shortness of breath"
Seasonal Flu,"fatigue, chills, headache, severe body aches, high fever"
Strep Throat,"fever, pain when swallowing, sudden sore throat"
Tension Headache,"scalp tenderness, dull, aching head pain, neck stiffness, tightness across forehead"
Gastroenteritis,"loss of appetite, diarrhea, abdominal cramps, nausea, fatigue"
Minor Sprain/Strain,"swelling, tenderness, muscle stiffness, bruising, limited range of motion, cramping"
Gastroenteritis,"vomiting, loss of appetite, low-grade fever, abdominal cramps, nausea, diarrhea, fatigue"
Migraine,"sensitivity to light, nausea, aura, vomiting, severe throbbing headache, neck pain, sensitivity to sound"
Common Cold,"sneezing, runny nose, cough, sore throat"
Allergic Rhinitis,"nasal congestion, sneezing, watery eyes, itchy eyes, runny nose"
Seasonal Flu,"fatigue, high fever, cough, severe body aches"
Dehydration,"thirst, fatigue, dry mouth"
Bacterial Pneumonia,"nausea, shaking chills, chest pain, shortness of breath, productive cough, high fever"
Gastroenteritis,"diarrhea, vomiting, abdominal cramps, loss of appetite, nausea"
Tension Headache,"tightness across forehead, shoulder pain, mild sensitivity to light, scalp tenderness, dull, aching head pain"
Dehydration,"thirst, fatigue, dizziness, dry mouth"
Allergic Rhinitis,"sneezing, itchy eyes, watery eyes, runny nose"
Minor Sprain/Strain,"localized pain, muscle stiffness, tenderness, bruising, swelling"
Migraine,"vomiting, aura, sensitivity to light, nausea, sensitivity to sound"
Common Cold,"sore throat, cough, runny nose, watery eyes, fatigue, sneezing, mild headache"
Bacterial Pneumonia,"shortness of breath, high fever, chest pain, nausea, confusion"
Seasonal Flu,"diarrhea, high fever, severe body aches, headache, nausea"
Bacterial Pneumonia,"chest pain, high fever, shortness of breath, shaking chills, productive cough"
Dehydration,"dry mouth, thirst, dizziness, fatigue"
Bacterial Pneumonia,"nausea, shortness of breath, confusion, fatigue, shaking chills, chest pain, high fever"
Allergic Rhinitis,"runny nose, watery eyes, sneezing, itchy eyes"
Strep Throat,"body aches, tiny red spots on roof of mouth, pain when swallowing, sudden sore throat"
Common Cold,"low fever, sneezing, runny nose, cough, fatigue, watery eyes"
Bacterial Pneumonia,"sweating, chest pain, high fever, shaking chills, shortness of breath"
Common Cold,"sneezing, runny nose, sore throat, fatigue, mild headache, cough, low fever"
Minor Sprain/Strain,"tenderness, swelling, limited range of motion, localized pain"
Tension Headache,"neck stiffness, dull, aching head pain, scalp tenderness, tightness across forehead, mild sensitivity to light"
Seasonal Flu,"fatigue, diarrhea, headache, chills, severe body aches, high fever"
Migraine,"nausea, severe throbbing headache, neck pain, sensitivity to light, sensitivity to sound"
Strep Throat,"stomach ache, pain when swallowing, sudden sore throat, tiny red spots on roof of mouth"
Strep Throat,"body aches, fever, pain when swallowing, sudden sore throat, rash, tiny red spots on roof of mouth"
Minor Sprain/Strain,"bruising, swelling, muscle stiffness, localized pain, limited range of motion, cramping, tenderness"
Migraine,"sensitivity to light, neck pain, severe throbbing headache, sensitivity to sound"
Minor Sprain/Strain,"swelling, bruising, localized pain, limited range of motion, cramping, tenderness"
Common Cold,"runny nose, fatigue, mild headache, cough, sore throat, watery eyes"
Dehydration,"thirst, dark urine, dizziness, fatigue, dry mouth"
Migraine,"sensitivity to light, sensitivity to sound, nausea, vomiting"
Gastroenteritis,"nausea, fatigue, abdominal cramps, diarrhea"
Seasonal Flu,"high fever, chills, severe body aches, nausea, sore throat, headache"
Tension Headache,"mild sensitivity to light, dull, aching head pain, scalp tenderness, shoulder pain, tightness across forehead, neck stiffness"
Bacterial Pneumonia,"productive cough, high fever, nausea, chest pain, shaking chills, fatigue, shortness of breath"
Minor Sprain/Strain,"swelling, tenderness, limited range of motion"
Common Cold,"sneezing, runny nose, sore throat, low fever, cough"
Dehydration,"headache, thirst, infrequent urination, dizziness, dry mouth, fatigue"
Migraine,"sensitivity to sound, severe throbbing headache, sensitivity to light, nausea"
Migraine,"severe throbbing headache, sensitivity to sound, sensitivity to light, nausea"
Seasonal Flu,"headache, chills, high fever, diarrhea, fatigue"
Common Cold,"low fever, sore throat, watery eyes, cough, runny nose"
Gastroenteritis,"abdominal cramps, loss of appetite, vomiting, diarrhea"
Gastroenteritis,"vomiting, abdominal cramps, diarrhea, nausea"
Bacterial Pneumonia,"shortness of breath, chest pain, productive cough, sweating, shaking chills, confusion"
Bacterial Pneumonia,"high fever, productive cough, fatigue, chest pain, shaking chills, nausea"
Minor Sprain/Strain,"localized pain, muscle stiffness, tenderness, limited range of motion, swelling, cramping, bruising"
Bacterial Pneumonia,"nausea, chest pain, confusion, shortness of breath, high fever"
Strep Throat,"rash, pain when swallowing, tiny red spots on roof of mouth, fever"
Tension Headache,"mild sensitivity to light, dull, aching head pain, tightness across forehead, neck stiffness, scalp tenderness, shoulder pain"
Bacterial Pneumonia,"shortness of breath, shaking chills, fatigue, high fever, productive cough"
Seasonal Flu,"headache, severe body aches, fatigue, sore throat, nausea, cough"
Allergic Rhinitis,"itchy eyes, watery eyes, sneezing"
Strep Throat,"body aches, headache, pain when swallowing, tiny red spots on roof of mouth, sudden sore throat"
Allergic Rhinitis,"runny nose, watery eyes, sneezing, mild headache, nasal congestion"
Bacterial Pneumonia,"shaking chills, fatigue, chest pain, confusion, sweating, shortness of breath, productive cough"
Tension Headache,"scalp tenderness, dull, aching head pain, tightness across forehead"
Dehydration,"dark urine, dry mouth, fatigue, dizziness, thirst"
Strep Throat,"tiny red spots on roof of mouth, pain when swallowing, fever"
Dehydration,"fatigue, dizziness, thirst"
Migraine,"severe throbbing headache, sensitivity to light, nausea"
Minor Sprain/Strain,"cramping, limited range of motion, swelling, muscle stiffness, bruising, tenderness"
Strep Throat,"fever, pain when swallowing, body aches, tiny red spots on roof of mouth"
Minor Sprain/Strain,"swelling, limited range of motion, localized pain"
Seasonal Flu,"high fever, severe body aches, sore throat, headache, nausea, diarrhea"
Bacterial Pneumonia,"chest pain, confusion, productive cough, shaking chills, nausea, shortness of breath, high fever, sweating"
Dehydration,"fatigue, dry mouth, dizziness"
Tension Headache,"neck stiffness, mild sensitivity to light, dull, aching head pain, scalp tenderness, tightness across forehead, shoulder pain"
Migraine,"neck pain, sensitivity to light, severe throbbing headache, sensitivity to sound, nausea, aura"
Gastroenteritis,"abdominal cramps, low-grade fever, headache, nausea, vomiting, diarrhea"
Common Cold,"watery eyes, cough, runny nose, mild headache, sore throat, fatigue, sneezing"
Allergic Rhinitis,"runny nose, itchy eyes, watery eyes, sneezing"
Migraine,"sensitivity to sound, severe throbbing headache, vision changes, nausea, sensitivity to light"
Bacterial Pneumonia,"confusion, nausea, shaking chills, productive cough, sweating, chest pain, shortness of breath"
Bacterial Pneumonia,"chest pain, productive cough, confusion, sweating, high fever, shortness of breath, fatigue, shaking chills"
Common Cold,"sneezing, mild headache, fatigue, watery eyes, runny nose, sore throat"
Minor Sprain/Strain,"limited range of motion, tenderness, swelling, localized pain, muscle stiffness"
Common Cold,"cough, sneezing, sore throat"
Minor Sprain/Strain,"swelling, cramping, localized pain, limited range of motion, muscle stiffness, bruising"
Dehydration,"fatigue, dry mouth, dizziness, dark urine"
Tension Headache,"tightness across forehead, mild sensitivity to light, dull, aching head pain, scalp tenderness, neck stiffness"
Gastroenteritis,"abdominal cramps, diarrhea, nausea, vomiting"
Migraine,"sensitivity to light, sensitivity to sound, vision changes, aura, nausea"
Allergic Rhinitis,"itchy eyes, sneezing, nasal congestion, sore throat, watery eyes"
Minor Sprain/Strain,"cramping, bruising, localized pain, swelling, tenderness, muscle stiffness, limited range of motion"
Seasonal Flu,"cough, headache, high fever, chills, fatigue, severe body aches, diarrhea"
Common Cold,"cough, runny nose, mild headache, fatigue, watery eyes, sore throat"
Dehydration,"confusion, dry mouth, dizziness, fatigue, headache, thirst, dark urine"
Minor Sprain/Strain,"localized pain, swelling, bruising, cramping, muscle stiffness, limited range of motion, tenderness"
Gastroenteritis,"nausea, fatigue, vomiting, diarrhea"
Allergic Rhinitis,"watery eyes, itchy eyes, sneezing, cough"
Tension Headache,"neck stiffness, dull, aching head pain, tightness across forehead, scalp tenderness"
Bacterial Pneumonia,"chest pain, confusion, shortness of breath, high fever, shaking chills, productive cough, fatigue"
Gastroenteritis,"nausea, vomiting, diarrhea"
Dehydration,"thirst, fatigue, dry mouth, dizziness, dark urine"
Common Cold,"cough, mild headache, low fever, sore throat, sneezing, runny nose, fatigue"
Allergic Rhinitis,"sneezing, nasal congestion, sore throat, itchy eyes, runny nose"
Minor Sprain/Strain,"localized pain, bruising, muscle stiffness, tenderness, limited range of motion"
Allergic Rhinitis,"runny nose, cough, watery eyes, mild headache, nasal congestion, sneezing, itchy eyes"
Strep Throat,"headache, rash, pain when swallowing, fever, sudden sore throat"
Dehydration,"fatigue, dizziness, dry mouth, thirst"
Common Cold,"watery eyes, sore throat, cough, sneezing"
Strep Throat,"pain when swallowing, sudden sore throat, tiny red spots on roof of mouth, fever"
Gastroenteritis,"nausea, vomiting, low-grade fever, abdominal cramps, fatigue"
Gastroenteritis,"vomiting, abdominal cramps, nausea, fatigue, diarrhea"
Strep Throat,"tiny red spots on roof of mouth, pain when swallowing, headache, fever, rash"
Minor Sprain/Strain,"swelling, limited range of motion, tenderness"
Bacterial Pneumonia,"high fever, shortness of breath, confusion, shaking chills, fatigue, sweating, chest pain"
Tension Headache,"dull, aching head pain, tightness across forehead, mild sensitivity to light, shoulder pain, scalp tenderness, neck stiffness"
Migraine,"vision changes, sensitivity to light, nausea, severe throbbing headache, sensitivity to sound"
Bacterial Pneumonia,"high fever, nausea, shaking chills, productive cough, shortness of breath, chest pain"
Gastroenteritis,"diarrhea, abdominal cramps, vomiting, loss of appetite, fatigue"
Strep Throat,"stomach ache, sudden sore throat, fever, tiny red spots on roof of mouth, rash, headache, pain when swallowing"
Common Cold,"cough, runny nose, sore throat, low fever, mild headache, sneezing, watery eyes"
Gastroenteritis,"fatigue, vomiting, abdominal cramps, nausea, loss of appetite, low-grade fever, diarrhea"
Strep Throat,"headache, stomach ache, pain when swallowing, sudden sore throat, fever, tiny red spots on roof of mouth"
Gastroenteritis,"vomiting, fatigue, nausea, diarrhea, loss of appetite, headache"
Minor Sprain/Strain,"swelling, bruising, limited range of motion, localized pain"
Migraine,"severe throbbing headache, sensitivity to light, nausea"
Bacterial Pneumonia,"shortness of breath, productive cough, shaking chills"
Common Cold,"sore throat, sneezing, runny nose"
Dehydration,"headache, thirst, dry mouth, fatigue, infrequent urination"
Seasonal Flu,"nausea, headache, high fever, diarrhea, fatigue, chills, severe body aches"
Bacterial Pneumonia,"fatigue, sweating, chest pain, confusion, shortness of breath, productive cough"
Tension Headache,"tightness across forehead, dull, aching head pain, scalp tenderness"
Minor Sprain/Strain,"localized pain, tenderness, limited range of motion, muscle stiffness, swelling"
Minor Sprain/Strain,"localized pain, swelling, limited range of motion, tenderness"
Migraine,"sensitivity to light, nausea, severe throbbing headache"
Migraine,"sensitivity to sound, aura, neck pain, sensitivity to light, nausea, vision changes"
Bacterial Pneumonia,"nausea, shaking chills, chest pain, high fever, sweating, shortness of breath"
Gastroenteritis,"low-grade fever, vomiting, diarrhea, nausea, fatigue, abdominal cramps"
Migraine,"vision changes, severe throbbing headache, sensitivity to light, sensitivity to sound"
Strep Throat,"sudden sore throat, fever, headache, pain when swallowing"
Common Cold,"cough, mild headache, sneezing, sore throat, runny nose"
Bacterial Pneumonia,"shaking chills, high fever, productive cough, nausea, sweating, shortness of breath"
Strep Throat,"sudden sore throat, rash, fever, stomach ache, headache, pain when swallowing"
Allergic Rhinitis,"nasal congestion, runny nose, cough, itchy eyes, watery eyes"
Minor Sprain/Strain,"swelling, limited range of motion, bruising, localized pain, muscle stiffness"
Gastroenteritis,"abdominal cramps, fatigue, vomiting, nausea"
Seasonal Flu,"headache, chills, severe body aches"
Bacterial Pneumonia,"high fever, shaking chills, productive cough, shortness of breath"
Gastroenteritis,"vomiting, diarrhea, loss of appetite, headache, fatigue, nausea"
Tension Headache,"dull, aching head pain, mild sensitivity to light, scalp tenderness, tightness across forehead"
Gastroenteritis,"loss of appetite, abdominal cramps, vomiting, nausea, diarrhea"
Common Cold,"sore throat, watery eyes, runny nose, mild headache, low fever, sneezing"
Bacterial Pneumonia,"high fever, shaking chills, shortness of breath, chest pain, productive cough"
Allergic Rhinitis,"runny nose, watery eyes, sneezing, itchy eyes"
Minor Sprain/Strain,"swelling, tenderness, bruising, limited range of motion, localized pain"
Seasonal Flu,"sore throat, chills, cough, nausea, high fever, severe body aches, headache"
Migraine,"sensitivity to sound, nausea, severe throbbing headache"
Strep Throat,"pain when swallowing, stomach ache, fever, tiny red spots on roof of mouth, headache"
Minor Sprain/Strain,"limited range of motion, muscle stiffness, bruising, localized pain, tenderness, swelling"
Common Cold,"cough, runny nose, low fever, fatigue, mild headache, sneezing, sore throat"
Migraine,"neck pain, vomiting, sensitivity to light, aura, nausea, sensitivity to sound"
Migraine,"sensitivity to light, severe throbbing headache, nausea, sensitivity to sound"
Common Cold,"mild headache, sore throat, sneezing, cough, runny nose, watery eyes, fatigue"
Allergic Rhinitis,"itchy eyes, sneezing, sore throat, runny nose, watery eyes"
Strep Throat,"fever, tiny red spots on roof of mouth, pain when swallowing, stomach ache, sudden sore throat"
Tension Headache,"dull, aching head pain, mild sensitivity to light, scalp tenderness, tightness across forehead, neck stiffness"
Common Cold,"mild headache, sneezing, runny nose, cough, watery eyes, low fever"
Migraine,"severe throbbing headache, vomiting, sensitivity to sound, nausea"
