Disease,Symptoms
Common Cold,"Runny or stuffy nose, sore throat, cough, congestion, sneezing, low-grade fever"
Influenza (Flu),"Fever, cough, sore throat, runny or stuffy nose, muscle or body aches, headaches, fatigue"
COVID-19,"Fever or chills, cough, shortness of breath, fatigue, muscle or body aches, headache, new loss of taste or smell, sore throat"
Strep Throat,"Sore throat that starts quickly, pain when swallowing, fever, red and swollen tonsils, tiny red spots on the roof of the mouth"
Migraine,"Severe throbbing or pulsing headache, nausea, vomiting, extreme sensitivity to light and sound"
Gastroenteritis (Stomach Flu),"Diarrhea, abdominal cramps and pain, nausea, vomiting, occasional muscle aches or headache"
Pneumonia,"Chest pain when you breathe or cough, confusion, cough which may produce phlegm, fatigue, fever, sweating"
Asthma,"Shortness of breath, chest tightness or pain, wheezing when exhaling, trouble sleeping caused by shortness of breath"
Diabetes Mellitus (Type 2),"Increased thirst, frequent urination, increased hunger, unintended weight loss, fatigue, blurred vision"
Hypertension (High Blood Pressure),"Often has no symptoms; if symptoms occur, they can include headaches, shortness of breath, or nosebleeds"
Bronchitis,"Cough, production of mucus (sputum), fatigue, shortness of breath, slight fever and chills, chest discomfort"
Allergic Rhinitis (Hay Fever),"Sneezing, runny or stuffy nose, itchy or watery eyes, itching of the nose or roof of the mouth"
Urinary Tract Infection (UTI),"A strong, persistent urge to urinate, a burning sensation when urinating, passing frequent, small amounts of urine, cloudy urine"
Anemia,"Fatigue, weakness, pale skin, shortness of breath, dizziness, cold hands and feet"
Appendicitis,"Sudden pain that begins on the right side of the lower abdomen, pain that worsens with coughing or walking, nausea and vomiting, loss of appetite"
Conjunctivitis (Pinkeye),"Redness in one or both eyes, itchiness in one or both eyes, a gritty feeling, discharge that forms a crust"
Eczema (Atopic Dermatitis),"Dry skin, itching which may be severe, red to brownish-gray patches, small raised bumps which may leak fluid"
Gout,"Intense joint pain, lingering discomfort, inflammation and redness, limited range of motion"
Kidney Stones,"Severe pain in the side and back, pain that spreads to the lower abdomen and groin, pain on urination, pink, red or brown urine"
Mononucleosis (Mono),"Fatigue, sore throat, fever, swollen lymph nodes in your neck and armpits, swollen tonsils, headache"
