Disease,Symptoms
Heart Attack (Myocardial Infarction),"Chest pain or discomfort (pressure, squeezing, fullness), pain in one or both arms, the back, neck, jaw or stomach, shortness of breath, cold sweat, nausea, lightheadedness"
Stroke,"Sudden numbness or weakness in the face, arm, or leg, especially on one side of the body, sudden confusion, trouble speaking, or difficulty understanding speech, sudden trouble seeing in one or both eyes, sudden trouble walking, dizziness, loss of balance"
Alzheimer's Disease,"Memory loss that disrupts daily life, challenges in planning or solving problems, difficulty completing familiar tasks, confusion with time or place, trouble understanding visual images and spatial relationships"
Parkinson's Disease,"Tremor in hands, arms, legs, jaw, or head, stiffness of the limbs and trunk, slowness of movement, impaired balance and coordination"
Epilepsy,"Temporary confusion, a staring spell, uncontrollable jerking movements of the arms and legs, loss of consciousness or awareness, psychic symptoms such as fear or anxiety"
Multiple Sclerosis (MS),"Numbness or weakness in one or more limbs, electric-shock sensations with certain neck movements, tremor, lack of coordination or unsteady gait, partial or complete loss of vision"
Lung Cancer,"A new cough that doesn't go away, coughing up blood, shortness of breath, chest pain, hoarseness, losing weight without trying, bone pain"
Breast Cancer,"A breast lump or thickening that feels different from the surrounding tissue, change in the size, shape or appearance of a breast, changes to the skin over the breast, such as dimpling, a newly inverted nipple"
Leukemia,"Fever or chills, persistent fatigue, weakness, frequent or severe infections, losing weight without trying, swollen lymph nodes, easy bleeding or bruising"
Skin Cancer (Melanoma),"A change in an existing mole, the development of a new pigmented or unusual-looking growth on your skin, a large brownish spot with darker speckles"
Chronic Obstructive Pulmonary Disease (COPD),"Shortness of breath, especially during physical activities, wheezing, chest tightness, a chronic cough that may produce mucus, frequent respiratory infections"
Crohn's Disease,"Diarrhea, fever, fatigue, abdominal pain and cramping, blood in your stool, mouth sores, reduced appetite and weight loss"
Lupus,"Fatigue, fever, joint pain, stiffness and swelling, a butterfly-shaped rash on the face that covers the cheeks and bridge of the nose, skin lesions that appear or worsen with sun exposure"
Fibromyalgia,"Widespread pain, fatigue, sleep disturbances, cognitive difficulties (referred to as 'fibro fog'), headaches, irritable bowel syndrome"
Chronic Kidney Disease,"Nausea, vomiting, loss of appetite, fatigue and weakness, sleep problems, changes in how much you urinate, muscle twitches and cramps, swelling of feet and ankles"
Cirrhosis,"Fatigue, easily bleeding or bruising, loss of appetite, nausea, swelling in your legs, feet or ankles (edema), weight loss, itchy skin, jaundice"
Polycystic Ovary Syndrome (PCOS),"Irregular periods or no periods at all, difficulty getting pregnant, excessive hair growth (hirsutism), weight gain, thinning hair and hair loss from the head, oily skin or acne"
Anxiety Disorder,"Feeling nervous, restless or tense, having a sense of impending danger, panic or doom, having an increased heart rate, breathing rapidly (hyperventilation), sweating, trembling"
Bipolar Disorder,"Periods of abnormally upbeat, jumpy or wired behavior (manic episodes), periods of depression with sadness and loss of interest, mood swings that include both mania and depression"
Schizophrenia,"Delusions, hallucinations, disorganized thinking (speech), extremely disorganized or abnormal motor behavior, negative symptoms (e.g., lack of emotion)"
Measles,"Fever, dry cough, runny nose, sore throat, inflamed eyes (conjunctivitis), a skin rash made up of large, flat blotches"
Mumps,"Puffy cheeks and a swollen jaw, fever, headache, muscle aches, tiredness, loss of appetite"
Tetanus,"Jaw cramping, sudden, involuntary muscle tightening (muscle spasms) — often in the stomach, painful muscle stiffness all over the body, trouble swallowing"
Rabies,"Fever, headache, agitation, anxiety, confusion, difficulty swallowing, excessive salivation, fear of water (hydrophobia)"
Osteoarthritis,"Pain in the joints during or after movement, joint stiffness, tenderness when light pressure is applied to the joint, loss of flexibility, grating sensation (crepitus)"
Sickle Cell Anemia,"Episodes of pain (pain crises), swelling of hands and feet, frequent infections, delayed growth or puberty, vision problems"
Glandular Fever (Infectious Mononucleosis),"High temperature (fever), sore throat, swollen glands in the neck, extreme tiredness (fatigue)"
Cellulitis,"Red, swollen, and painful area of skin, a rapidly spreading rash, a feeling of heat in the affected area, fever, blisters or spots"
Cystic Fibrosis,"A persistent cough that produces thick mucus, wheezing, breathlessness, repeated lung infections, poor weight gain and growth"
Down Syndrome,"Flattened face, small head, short neck, protruding tongue, upward slanting eye lids (palpebral fissures), unusually shaped or small ears, poor muscle tone"
